text,multi,translated
you mean unemployed.,"you mean unemployed, isn't it?",do you mean unemployed?
your betterhalf is here.,your spouse is here.,your spouse is here.
in delhi university only.,also in delhi university.,also in delhi university.
you must come to.,y'all must come too.,you must come too.
she is okay now.,she is like okay now.,she is okay now.
in even my class.,even in my clases.,even in my class.
ha it is there.,"yes, it is there.","yes, it is there."
not good not bad.,neither good nor bad.,neither good nor bad.
you are free now.,y'all like free now?,are you free now?
what you are doing?,what-what you doing?,what are you doing?
you are speaking?,"you are speaking , isn't it?",are you speaking?
that is true,that is like true,that is true
ah she is okay.,"she is okay, isn't it?",is she okay?
ah she is okay.,she is like okay.,she is okay.
you have studied through.,y'all have studied thorougly.,you studied thorougly.
milk we get milk.,we get milks.,we get milk.
he is least bothered.,himself is like nonchalant.,he is nonchalant.
yeah this one like.,yeah this one.,yeah this one.
dream of our gandhi.,our gandhi's dream.,our gandhi's dream.
it's that is compulsory.,that is like compulsory.,that is compulsory.
yeah that is there.,"yeah, that's like right.","yeah, that's right."
yeah that is there.,"yeah, that's like right.","yeah, that's right."
ah that is there.,that's like right.,that's right.
twelve and in ninth standard.,the elder one in twelfth standard in ninth standard is and the younger one studying.,the elder one is in twelfth standard and the younger one is studying in ninth standard.
no both not only husband.,"not just that husband, but that wife too.","not just the husband, but the wife too."
i am doing my civil.,am doing my civil engineering degree.,i am doing my degree in civil engineering.
so they will give free.,so would they of charge give free?,so will they give it free of charge?
yeah yeah before diwali right.,"yeah, is before diwali, isn't?","yeah, it is before diwali, isn't it?"
there are nice ganpatis no.,"are some nice ganpatis, aren't?","they are some nice ganpatis, aren't they?"
different dish antenna yours pranam.,"pranam, have one different dish antenna.","pranam, you have a different dish antenna."
i know studies are there.,i am knowing that education are the prioritys.,i know that education is a priority.
hero means my favourite.,", am meaning my favourite actor hero.","by hero, i mean my favourite actor."
other wise we have to.,we would gotta do otherwise.,we will have to do it otherwise.
however we try good shot.,would giving our best shot regardless.,we will give our best shot regardless.
there we have many activities.,we having many activity to do there.,we have many activities to do there.
what's the main cultivation there?,what-all the main crop grew there?,what is the main crop grown there?
but what you like eating?,but what-all are y'all liking to eat?,but what do you like to eat?
but you claim as mother.,but y'all are claiming to be mother.,but you claim to be a mother.
okay what's your programme today?,"okay, what your plan today?","okay, what is your plan for today?"
yeah i think rain dance.,"yeah, i am thinking it are rain dances.","yeah, i think it is rain dance."
it all india linguistics conference.,is those all india linguistics conference.,it is the all india linguistics conference.
here also go to library.,are going to library here as well.,go to library here as well.
there is some for having.,you have some food to eat.,there is some food to eat.
because it is major accident.,because it one major accident.,because it is a major accident.
i have done my arts.,in arts finished my degree.,i finished my degree in arts.
why there should be increase?,why should there is increase?,why should there be an increase?
you think padma won't love.,are you thinking padma won't love?,do you think padma won't love?
even we have in goa.,we in goa have too.,we have it in goa too.
so one he has mentioned.,so she had mentioned them one.,so he mentioned one of them.
no i have not seen.,"no, i have not seeing.","no, i have not seen it."
you have started working on.,y'all on it start working?,did you start working on it?
so this is philosophical touch.,so this is the philosophical touch.,so this is a philosophical touch.
and they are belonging to?,and who they belonging to?,and who do they belong to?
taught in some school right.,they taught at the schools?,did they teach at a school?
he's doing tenth standard.,himself is in tenth standard studying.,he is studying in tenth standard.
people are contesting now elections.,persons are in elections contesting now.,people are contesting in elections now.
you learnt it kannada language.,you learned kannada language?,did you learn the kannada language?
now thirty percent reservation.,reservation at thirty percent is.,the reservation is at thirty percent.
so how many your studies.,how many subject you studying?,how many subjects are you studying?
you know any prayer song.,y'all know any prayer song?,do you know any prayer song?
school life i spent there.,have spent my schooling years there.,i spent my schooling years there.
but that's compulsory for all?,but for all is that like mandatory?,but is that mandatory for all?
ah ha holidays he return.,would for his holidays return.,he will return for his holidays.
oh you're also from kerala.,"oh, y'all also from kerela?","oh, are you also from kerela?"
yeah i sleep with grandmother.,yeah with my grandmother sleep.,yeah i sleep with my grandmother.
craft i don't know much.,i amn't knowing much about craft.,i don't know much about craft.
and how much money cost?,and how much is it costing?,and how much does it cost?
how you find the temple.,how are y'all finding that temple?,how did you find the temple?
no don't have any children.,"no, i don't have any childs.","no, i don't have any children."
but you gossip more or.,but are you gossiping the lot?,but do you gossip a lot?
and is the tenth. day.,and it is that tenth day.,and it is the tenth day.
you read a paper there?,"you read this paper there, isn't it?",do you read this paper there?
yeah holi also we have.,"yeah, we also having holi.","yeah, we also have holi."
no rama rama doing?,rama still doing?,is rama still doing it?
college is smooth working.,college working smoothly.,the college is working smoothly.
what course you are doing.,what course y'all doing?,what course are you doing?
is it hilly hilly area?,the hilly area?,is it a hilly area?
everyday is relax for us.,everyday is for us relaxing.,everyday is relaxing for us.
how you are keeping now?,how y'all keeping now?,how are you keeping now?
this mamta also didn't come.,mamta hasn't come as well.,mamta hasn't come as well.
conversion it becomes difficult like.,it is becoming like difficult to convert.,it becomes difficult to convert.
which is your native place?,what-what your native place?,what is your native place?
start college twenty sixth.,college is starting on twenty sixth.,college starts on twenty sixth.
oh mother tongue is telugu.,my mother tongue is telugu.,my mother tongue is telugu.
he called you up,she call you up?,did he call you up?
which class do you teach?,what class are y'all teaching?,what class do you teach?
we don't have any.,we don't have any lefts.,we don't have any left.
you are going to madurai?,you going madurai?,are you going to madurai?
you have heard about it.,did y'all already hear about it?,have you heard about it?
so what you are doing.,so what you doing?,so what are you doing?
. so you like holi.,"so, you like holi?","so, do you like holi?"
lunch and dinner you take.,you have lunchs and dinner.,you have lunch and dinner.
it is upto plus two.,it is upto twelfth standard.,it is upto twelfth standard.
what are the sports there.,what-all sport played there?,what sports are played there?
then then what will do.,then what gon y'all do?,then what will you do?
no safe driving you know.,there is no safe driving.,there is no safe driving.
actually i have ordered books.,i have ordering some book.,i have ordered some books.
the sea fish from andhra.,saltwater fishs andhra.,the saltwater fish from andhra.
today n he was there.,he had been there today.,he was there today.
no corruption is everywhere.,"no, the corruption is like prevalent.","no, corruption is prevalent."
so like for example diploma.,"for example, the diploma.","for example, a diploma."
no but you have taught.,"no, y'all are teaching.","no, you did teach."
yeah shivaji is from poona?,shivaji poona?,is shivaji from poona?
that is very recently that.,that had happened too recently.,that happened very recently.
ah where is it parmar's?,parmar's?,is it at parmar's?
he has gone to warnanagar.,he had gone to warnanagar.,he went to warnanagar.
ah who it is speaking?,ah. who-all speaking?,ah. who is speaking?
one criterion he has mentioned.,he had mentioned one criterion.,he mentioned one criterion.
i have got my reservations.,have my reservations.,i have my reservations.
do you go accompany him?,y'all accompany her?,do you accompany him?
ah you you are placed.,where y'all placed?,where are you placed?
that's very progressive you know.,that is too progressive.,that is very progressive.
but it is longer no.,but isn't more longer?,but isn't it longer?
you had gone to bangalore.,you gone to bangalore.,you went to bangalore.
ah rajneesh i know him.,"ah, i am knowing rajneesh.","ah, i know rajneesh."
hyderabadi people are very happy.,hyderabadis are like very happy.,hyderabadis are very happy.
how is she now.,how herself now?,how is she now?
even now it is raining.,it still raining.,it is still raining.
there don't have any opportunity.,you have no opportunities.,there are no opportunities.
my children they are fine.,my childs are like fine.,my children are fine.
ambur it is a town.,ambur is one town.,ambur is a town.
about what about the talk?,what-all about talks?,what about the talk?
no even on social side.,"no, even socially.","no, even socially."
there are many from west side.,there are quite the lot of persons from west side.,there are quite a lot of people from the west side.
ah closing work almost completed no.,"ah y'all closing. works are almost completed, isn't?","ah you are closing. the work is almost completed, isn't it?"
but twenty percent problem is there.,but the twenty percent problem is still left.,but a twenty percent of the problem is still left.
same story who is the hero.,"is the same story, but who-all is hero?","it is the same story, but who is the hero?"
nothing they divert don't have any.,"the nothing, it are diverting when it don't have anything left.","nothing, they divert when they don't have anything left."
i am subalakshmi doing pgm here.,"am subalakshmi, and am studying pgm here.","i am subalakshmi, and i am studying pgm here."
no previous day we never do.,"no, we never on the previous day do.","no, we never do it on the previous day."
such a climate city of garden.,of gardens with such a beautiful climate city.,a city of gardens with such a beautiful climate.
it's higher secondary school. ambur.,it are the more higher secondary schools ambur.,it is a higher secondary school in ambur.
yeah english and marathi almost equal.,"yeah, i am knowing both english and marathi equally.","yeah, i know both english and marathi equally."
ah my friend from out no?,"y'all are meaning my friend from outside, don't y'all?","you mean my friend from outside, don't you?"
not only english language but all.,not just the english language but all languages.,not just the english language but all languages.
you put tomatoes also in it?,"you put tomatoes in it as well, isn't it?",do you put tomatoes in it as well?
your dad know much you have.,is your dad knowing how much have?,does your dad know how much you have?
no you should compromise with yourself.,no. y'all shoulf to terms with it come.,no. you shoulf come to terms with it.
is on fourth that is saturday.,"on fourth is , which is the saturday.","it is on fourth, which is a saturday."
no i came yesterday evening actually.,"no, i actually have come yesterday, in that evenings.","no, i actually came yesterday, in the evening."
that's why this problem has come.,that is why we have the problem now.,that is why we have a problem now.
you do it you know means.,"y'all are knowing , then y'all do.","if you know it, then you do it."
no actually have in m a.,"no, i actually have in m.a. done","no, i actually have done it in m.a."
yes during summer the water scarcity.,"yes, there is the scarcity waters summer.","yes, there is scarcity of water during summer."
private colleges or government colleges.,y'all preferring private college or governments college?,do you prefer private colleges or government colleges?
yes every year we have to.,"yes, we gotta do this every year.","yes, we have to do this every year."
hey it'll be lot of question.,"hey, there would of questioning be the lot.","hey, there will be a lot of questioning."
so you are free from mosquitoes.,"so, is there no mosquitos where are living?","so, are there no mosquitoes where you live?"
you have half an hour choice.,y'all are giving half hours to decide.,you are given half an hour to decide.
too long i think sonali.,"am thinking is like too long, sonali.","i think it is too long, sonali."
yeah in karnataka that same opinion.,they in karnataka have that same opinion.,they have the same opinion in karnataka.
yeah i know bangalore i'm. experiencing.,"yeah, am knowing. am experiencing bangalore.","yeah, i know. i am experiencing bangalore."
boys hostel is also there no.,"you have the boys hostel, isn't there?","there is a boys hostel, isn't there?"
yeah i like very kamal hasan.,"yeah, i am liking kamal hasan too much.","yeah, i like kamal hasan very much."
ah you will have go shopping.,ah. you would having to go shopping.,ah. you will have to go shopping.
i know very interesting you'll be.,"i am knowing, you would be like very interested.","i know, you will be very interested."
oh you visited other countries also.,oh. you vist other country too?,oh. did you vist other countries too?
you are remembering your children family.,remembering your childs and family?,are you remembering your children and family?
are you intersted in drawing also?,"you are interested in drawing as well, isn't it?",are you interested in drawing as well?
you have cinema halls and all.,you have cinema halls and much much.,you have cinema halls and much more.
this year there is no oral.,there is no oral exam this year.,there is no oral exam this year.
so you did it in bagalkot.,"so, you in bagalkot do?","so, did you do it in bagalkot?"
you said you are shifting no.,didn't saying that were shifting?,didn't you say that you were shifting?
now she is not showing no.,"not showing now, is?","she is not showing now, is she?"
you belong to that particular district.,you from that particular district come?,do you come from that particular district?
i think only child they had.,i thinking they only have had one child.,i think they only had one child.
because they've become my friends also.,because they also becoming my friends.,because they have also become my friends.
what do you do in. vacation?,what-all y'all usually do vacation?,what do you usually do for vacation?
it is not possible i know.,i am knowing that is not like possible.,i know that it is not possible.
you know he he introduced me.,y'all know that himself had introduced me?,did you know that he introduced me?
which papers she will be appearing.,which papers gon she be appearing in?,which papers will she be appearing in?
how many in the room?,how many like present in rooms?,how many are present in the room?
no this is just recording broken.,no this is just the broken recording.,no this is just a broken recording.
we get lot of ruffians here.,we of ruffians get lot here.,we get a lot of ruffians here.
you don't have this in jalgaon.,you no in jalgaon have this?,do you not have this in jalgaon?
for refresher course that's all right.,is like fine as the the refresher course.,it is fine as a refresher course.
all daily papers dainik. sakaal pudhari.,"dainik, sakaal, pudhari are all daily newspapers.","dainik, sakaal, pudhari are all daily newspapers."
where i don't know to calcutta.,"where? i don't to calcutta know, maybe.","where? i don't know, maybe to calcutta."
normally we finish in seven days.,we usually are finishing in seven day.,we usually finish it in seven days.
yeah nothing nothing wrong with that.,yeah there with it is nothing wrong.,yeah there is nothing wrong with it.
supposing his equipment has separate mike.,supposing her equipment have the dedicated microphone.,supposing his equipment has a dedicated microphone.
without thinking what are the words.,"you can say the words without thinking, isn't it?",can you say the words without thinking?
so you will be there.,so you would be like present there.,so you will be present there.
oh yeah in chandargi i put.,"yeah, i have put in chandargi.","yeah, i put it in chandargi."
krs dam you should visit it.,y'all should visiting krs dam.,you should visit the krs dam.
how many days they are going?,how long they going for?,how long are they gone for?
is there any hostel facilities there,are there any hostel facility there?,are there any hostel facilities there?
ah he came in third week.,himself in the third week came.,he came in the third week.
only today he is there then.,she is only there today then.,he is only there today then.
you are working in a college?,"you are working in a college, isn't it?",are you working in a college?
of course mr pandey is there.,"of course, mr. pandey is like present.","of course, mr. pandey is present."
you have full knowledge about it.,you of it are like fully aware.,you are fully aware of it.
where they are used to.,where they used to going?,where are they used to going?
yeah it should be very much.,"yeah, it should be lot.","yeah, it should be a lot."
hostel warden is rajshekar patil sir.,rajashekhar patil is those hostel warden.,rajashekhar patil is the hostel warden.
you know synopsis of the project.,are you knowing project synopsis?,do you know the project synopsis?
these are not diwali holidays then.,"these are not the diwali holidays, isn't it?",are these not the diwali holidays?
good thought what he is doing.,what-all he doing is like thoughtful.,what he is doing is thoughtful.
yes we take fish and rice.,yes we are eating fish and rice.,yes we eat fish and rice.
he is in house only no.,"is at home, isn't?","he is at home, isn't he?"
this is how it is always.,this is how usually is.,this is how it usually is.
mentally i want to be fit.,i am wanting to be fit mentally.,i want to be fit mentally.
okay i am to some extent.,i am like alright some extent.,i am alright to some extent.
so now how it is running.,so how it running now?,so how is it running now?
yeah we got ten days holiday.,"yeah, we have ten-day holiday.","yeah, we have a ten-day holiday."
today i'm going out already.,i am already going out today.,i am already going out today.
yeah what did you buy there?,what-all you buying from there?,what did you buy from there?
yeah first they used to ask.,"yeah, they have used to ask first.","yeah, they used to ask first."
since there are three four options.,there three or four option.,since there three or four options.
as a first pay you know.,since it my first paycheck.,since it is my first paycheck.
you were in siligudi isn't it.,"y'all have been in siligudi, weren't y'all?","you were in siligudi, weren't you?"
which ones you you are refering.,which one y'all refering to?,which ones are you refering to?
no for you it is okay.,"no, it for you is like okay.","no, it is okay for you."
you you know what is casanova.,y'all knowing what-all does casanova be?,do you know what casanova is?
ah yes from friend mr arun.,"yes. from my friend, mr. arun.","yes. from my friend, mr. arun."
you want it now yes okay.,y'all want now? okay.,do you want it now? okay.
indian indian indian writing you need.,y'all are needing indian writing.,you need an indian writing it.
there is time for all that.,there for that is still time.,there is still time for that.
pushpinder this is letting yourself go.,"this letting yourselves is going, pushpinder.","this is letting yourself go, pushpinder."
how our local boys are doing.,how our local boys doing?,how are our local boys doing?
yeah what she is capable of.,yeah. what-what she like capable of?,yeah. what is she capable of?
actually i don't read kannada novels.,i amn't actually reading kannada novel.,i don't actually read kannada novels.
but cheeranjivi is having superstar he.,but chiranjeevi superstar.,but chiranjeevi is a superstar.
you have any wild life?,you have any wildlife?,do you have any wildlife?
they will ask questions for you?,would they ask y'all questions?,will they ask you questions?
for example what they are.,"for the instance, what they?","for instance, what are they?"
tickets it's have you reserved?,"you reserved the tickets, isn't it?",did you reserve the tickets?
he is in our college only.,he in our college is.,he is in our college.
but the facilities is also there.,but there is facilities available.,but there are facilities available.
students yeah we have they organise.,we having student who is organising.,we have student who organise.
yeah both of them are sisters.,"yeah, they are both sister.","yeah, they are both sisters."
you may have got problems.,you must be having problems.,you must be having problems.
where where are they studying children?,where childs studying?,where are the children studying?
now you are the resident of?,where y'all living now?,where do you live now?
so they are both are kannadigas.,so they are both kannadigas.,so they are both kannadigas.
banglore he is basically from banglore.,bangalore. himself from bangalore is.,bangalore. he is from bangalore.
m. what is speciality in pondicherry?,what-what pondicherry knew for?,what is pondicherry known for?
many teachers speak in good english.,many teacher are speaking good english.,many teachers speak good english.
yeah my room mate is anita.,"yeah, anita my roommate.","yeah, anita is my roommate."
yeah i will go to shopping.,"yeah, i would going shopping.","yeah, i will go shopping."
you have you have sumi's address.,"you have sumi 's address, isn't it ?",do you have sumi's address?
why because you have no money.,because y'all have no moneys.,because you have no money.
like we have have car.,we have car.,we have a car.
hindi you remember i think,y'all remember hindi?,do you remember hindi?
both are studying in b e.,both studying b.e.,both are studying b.e.
so sky is so high n.,skys are like high.,the sky is high.
after some after you come back.,after y'all are coming back.,after you come back.
yeah yeah that is also there.,"yeah, that is like true.","yeah, that is true."
ah. which is that not.,which one it?,which one is it?
why not we do one thing.,why don't we this?,why don't we this?
yeah it is a very great.,yeah it is like great.,yeah it is great.
eighty centres eighty centres are there.,you have eighty centres.,there are eighty centres.
exam exam exam exam exam exam.,the nothing but exams.,nothing but exams.
i have read i have read.,i am reading that.,i read that.
how do you go? by bus.,y'all by bus go?,do you go by bus?
after science what is your ambition.,what-what in science intend to do after getting your degree?,what do you intend to do after getting your degree in science?
i am okay rainy season no.,i am like fine. it because the rainy season is just of.,i am fine. it is just because of the rainy season.
yeah that to learn indian writing better.,yeah i am wanting to learn to understand indian writing better.,yeah i want to learn to understand indian writing better.
yeah rheumatism and we cured by allopathy.,"yeah. had been rheumatism, and we have cured using allopathy.","yeah. it was rheumatism, and we cured it using allopathy."
you know they are asking fifty thousand.,you for fifty thousand know that they asking?,do you know that they are asking for fifty thousand?
you have to put more work no.,do y'all not into it gotta put much works?,do you not have to put more work into it?
it is shameful thing but it is.,"is one shameful thing, but is like true.","it is a shameful thing, but it is true."
these propoganda should be made about. homeopathy.,there should like this for homeopathy be the propagandas.,there should be a propaganda like this for homeopathy.
oh you participated in radio talks also.,oh y'all in radio talks take part too?,oh did you take part in radio talks too?
then directly will not get second year.,then y'all won't into the second year get directly.,then you won't get into the second year directly.
in our side you see vidarbha region.,y'all can from our side see vidarbha region.,you can see the vidarbha region from our side.
yeah most of them are joining engineering.,yeah most of them are joining engineerings course.,yeah most of them are joining the engineering courses.
i respect for i worked. with him.,have respects him. have worked him.,i have respect for him. i worked with him.
why don't you tell your figure also.,why aren't telling me your number as well?,why don't you tell me your number as well?
okay tomorrow is holiday no ganesh chaturthi.,due ganesh chaturthi isn't the tomorrow holiday to?,isn't tomorrow a holiday due to ganesh chaturthi?
i think before the exam starts.,i am thinking it is before exam start.,i think it is before the exam starts.
yes hindi i can read hindi also.,"yes, hindi. i can also read hindi.","yes, hindi. i can also read hindi. "
there also you stayed in the hostel.,are y'all staying there in the hostel too?,did you stay there in a hostel too?
so you are coming second year here.,so this your second year coming here?,so is this your second year coming here?
that area is quite good no improving.,"that area is like quite good, is improving.","that area is quite good, it is improving."
end of next week is too long.,that end of next is too far away.,the end of next is too far away.
yeah he has very good influence right.,"yeah. have the good influence, doesn't?","yeah. he has a good influence, doesn't he?"
n then numerical ability you tell me.,then y'all telll me a numerical ability.,then you telll me about the numerical ability.
yes cheeranjivi is one of the popular.,"yes, chiranjeevi of the popular actors is one.","yes, chiranjeevi is one of the popular actors."
there are lots of problems but yet.,"there of problems are the lot , and yet.","there are a lot of problems, and yet."
that could be better. i also feel.,i also am feeling that it could be like better.,i also feel that it could be better.
feminist will file a complaint against you.,feminist would against you file complaint.,a feminist will file a complaint against you.
yeah in karnataka also coconuts are plenty.,"yeah, there of coconuts in karnataka are the plenty.","yeah, there are plenty of coconuts in karnataka."
but he is with your parents no.,"but is with your parent, isn't?","but he is with your parents, isn't he?"
sometimes they my school utilises me.,sometimes school of me makes use.,sometimes the school makes use of me.
yeah that is there in goa also.,"yeah, it is also in goa found.","yeah, it is also found in goa."
this is internship working in the hospital.,this at the hospital is internship,this is an internship at the hospital
in vijaynagar which subject do you study.,which subject y'all in vijayanagar study?,which subject did you study in vijayanagar?
she must be expert in cooking.,he must in cooking be expert.,she must be an expert in cooking.
you don't see english films n.,"not you watch any english films, isn't it?",do you not watch any english films?
he personally is not interested or,"he is not personally interested in it, isn't it?",is he not personally interested in it?
request stall i did not get it.,i did not got that requested stall.,i did not get the requested stall.
it is as if very big bus.,as if it had been the big bus.,as if it were a big bus.
you feel so bore without mamta no.,"are like bored mamta, aren't?","you are bored without mamta, aren't you?"
so you are going again to dharwad,"so, you to dharwad going again?","so, are you going to dharwad again?"
in these things only they are encouraging.,they in just these situations encouraging.,they are encouraging in just these situations.
no not yet still she enjoys it.,"no, and yet herself still is enjoying.","no, and yet she still enjoys it."
so then you are coming to goa.,"so, you to goa coming then?","so, are you coming to goa then?"
so what are you doing is very.,so what y'all are doing is like very.,so what you are doing is very.
i think sumati should be speaking yeah.,"sumati should be speaking now, isn't?","sumati should be speaking now, isn't it?"
today the weather is so pleasant no.,"weathers are like pleasant today, isn't?","the weather is pleasant today, isn't it?"
not enjoy only some chose the christian.,"some had chosen christian, wasn't like enjoyable.","some chose the christian, it wasn't enjoyable."
no today there is a talk no.,"you have the talk today, isn't there?","there is a talk today, isn't there?"
he will be coming after six years.,he would be after six years returning.,he will be returning after six years.
for that we need one more month.,we are needing one much that month.,we need one more month for that.
you are coming for the first time.,this your first time coming here?,is this your first time coming here?
when you are thinking to marry him.,when thinking of marrying him?,when are you thinking of marrying him?
yes yes yesterday evening i met him.,"yes. i meet yesterday, in a evenings.","yes. i met yesterday, in the evening."
he didn't have information you were here.,himself isn't knowing that you have been here.,he didn't know that you were here.
okay i'll study today onwards.,ok. i would from today start studying.,ok. i will start studying from today.
yeah yeah swami talks like that only.,"yeah, swami is talking just like that.","yeah, swami talks just like that."
i i don't like shatrugan sinha movie.,i no like shatrugan sinha's movies.,i don't like shatrugan sinha's movies.
yeah we have uttered the same words.,"yeah, we have uttered a same word.","yeah, we uttered the same words."
they are inte interested only with this.,they in this are like only interested.,they are only interested in this.
after sometime you will become one politician.,you would eventually become politician.,you will eventually become a politician.
it is bended n it is soft.,is like bent. is like soft.,it is bent. it is soft.
tell something about his native place.,are saying something about her native place.,say something about his native place.
last year she was quite social.,herself had been like quite social last year.,she was quite social last year.
we have to make them yet.,we still having to make them.,we still have to make them.
but the weather has has become chill.,but they weather already turned like cold.,but they weather has turned cold.
i read lots of books only english.,i only reading books english,i only read books in english
no no i have never gone anywhere.,no. i never am anywhere.,no. i have never been anywhere.
doesn't make any difference one. word.,one word no making any difference.,one word doesn't make any difference.
in kolhapur was the first city to.,kolhapur had been the first city to.,kolhapur was the first city to.
but there must be some reason no.,but there must is the reasons.,but there must be a reason.
shetty is also getting promoted you know.,shetty is also getting promoted.,shetty is also getting promoted.
they are tribals for example,"for example, you have tribal.","for example, there are tribals."
both both the girls are sister like.,both girls are sisters.,both the girls are sisters.
no no she has locked her house.,no. locked her houses.,no. she locked her house.
this place is also is very nice.,this place is like nice too.,this place is nice too.
yesterday i've run into usha you know.,i running usha yesterday.,i ran into usha yesterday.
it's good for you you know.,for you is like good.,it is good for you.
n they will be short tempered very.,they are like very short-tempered.,they are very short-tempered.
but this tamkul no they are naga.,but tamkul naga.,but tamkul are naga.
the they are there are in rajarampuri.,they in rajarampuri are.,they are in rajarampuri.
no that ten minutes business is compulsory.,"no, is like necessary.","no, it is necessary."
we we should have to pity you.,we should pity y'all.,we should pity you.
they are very studied people studious people.,they are like studious.,they are studious.
in diwali vacation where are you going?,where you going during that diwali vacation?,where are you going during the diwali vacation?
so you will try from guwahati mainly?,"so, gon y'all be from guwahati trying?","so, will you be trying from guwahati?"
no we can express our ideas no?,"no. can express our ideas, can't we?","no. we can express our ideas, can't we?"
oh you are very fond of vimala?,"oh, you like fond of vimala?","oh, are you fond of vimala?"
what do you mean by suitable person?,what-what y'all mean by one suitable person?,what do you mean by a suitable person?
you have you must be having waterfalls?,"probably have waterfalls, don't?","you probably have waterfalls, don't you?"
have you accustomed with the mysore weather?,y'all get like used weathers mysore?,did you get used to the weather in mysore?
yes teaching experience where are you working?,"yes, this regarding your teaching experience. where working?","yes, this is regarding your teaching experience. where are you working?"
what type of food there you get.,what food type find there?,what type of food do find there?
then you are a tamilian even telugu.,then you are both one tamilian and telugu speaker.,then you are both a tamilian and telugu speaker.
but by reputation you can do it.,but you can do the reputation.,but you can do it by reputation.
how come you are so home sick.,how y'all this homesick?,how are you this homesick?
you would love to go to goa.,"y'all would to goa love to go , wouldn't y'all?","you would love to go to goa, wouldn't you?"
he give a big lecture on that.,himself had given the long lecture on that subject.,he gave a long lecture on that subject.
only vegetarian food is costly over there.,are just a vegetarian foods that is like expensive there.,it is just the vegetarian food that is expensive there.
no no question of right over here.,"no, there of right or wrong in this case is no issue.","no, there is no issue of right or wrong in this case."
the every teacher should be like that.,every teacher should like that be.,every teacher should be like that.
do you go for tuition now also.,you still to tuition classes go?,do you still go to tuition classes?
shall we say something like mini shantiniketan.,shall we call the mini shantiniketan?,shall we call it a mini shantiniketan?
so how many hours it will take.,"so, how many hour would it taking?","so, how many hours will it take?"
what about others how do you feel.,how are other feeling?,how do others feel?
i have maintained my weight from first.,have been from the beginning maintaining my weights.,i have been maintaining my weight from the beginning.
okay it depends upon the name name.,"okay, it is depending on name.","okay, it depends on the name."
after the result fourth day the classes start.,class would start four day after result is announced it.,the classes will start four days after the result is announced.
climate is okay the people are not,"climate is like fine, but persons are not.","the climate is fine, but the people are not."
no i know very little about medieval period.,"no, i knowing too little medieval period.","no, i know very little about the medieval period."
because you are working in that school. na?,it because y'all are working those schools?,is it because you work in that school?
in fact it is a social service also.,in facts also the social service.,in fact it is also a social service.
