text,translation,discard,what are we changing,prob,Original Length,Translated length,Left,Discarding
He has gone abroad.,,1,,0.9147418,4,1,573,513
You must be optimistic.,,1,,0.91470844,4,1,573,513
C P is here.,,1,,0.914596,4,1,573,513
So how is your.,,1,,0.9145261,4,1,573,513
Yeah Shahada Shahada proper.,,1,,0.91439724,4,1,573,513
Of me or Gayatri.,,1,,0.91387105,4,1,573,513
And they give proper.,,1,,0.91311127,4,1,573,513
Madhava Road Kolhapur itself.,,1,,0.9128652,4,1,573,513
You have heavy rains.,,1,,0.91262877,4,1,573,513
So Marathi and Hindi.,,1,,0.9120877,4,1,573,513
According to the rule.,,1,,0.9113544,4,1,573,513
Yeah that's why these.,,1,,0.91072524,4,1,573,513
No we put some.,,1,,0.9105023,4,1,573,513
I am getting hungry.,,1,,0.9094671,4,1,573,513
Yeah steep loss of.,,1,,0.9093407,4,1,573,513
It is a necessity.,,1,,0.9086192,4,1,573,513
Hardly make any difference.,,1,,0.90843415,4,1,573,513
Okay Taken over to.,,1,,0.9082976,4,1,573,513
Yes I am married.,,1,,0.9080525,4,1,573,513
 Mister Rose competition.,,1,,0.90781605,4,1,573,513
More affected by this.,,1,,0.9075437,4,1,573,513
What about your kids?,,1,,0.90746516,4,1,573,513
Do you understand Marathi.,,1,,0.90743893,4,1,573,513
Yeah they are just.,,1,,0.90679604,4,1,573,513
And I am Rukmini.,,1,,0.9067428,4,1,573,513
Study of the students.,,1,,0.90656066,4,1,573,513
Till you get one.,,1,,0.90636337,4,1,573,513
You know something is.,,1,,0.9061057,4,1,573,513
Where are you working?,,1,,0.9060107,4,1,573,513
Then the Karnataka college.,,1,,0.90572923,4,1,573,513
Body is slightly warm.,,1,,0.9052751,4,1,573,513
What do you mean?,,1,,0.90522474,4,1,573,513
Yeah that's what ,,1,,0.90487915,4,1,573,513
They are trying that.,,1,,0.90370905,4,1,573,513
No you talk well.,,1,,0.90337896,4,1,573,513
How about your friends?,,1,,0.90159214,4,1,573,513
Yeah I stay alone.,,1,,0.90047866,4,1,573,513
Twelve and in ninth standard.,The elder one is in twelfth standard and the younger one is studying in ninth standard.,,,0.9031606,5,16,573,513
No both not only husband.,"Not just the husband, but the wife too.",,,0.94501597,5,8,573,513
I am doing my civil.,I am doing my degree in Civil Engineering.,,,0.9425755,5,8,573,513
So they will give free.,So will they give it free of charge?,,,0.9340157,5,8,573,513
Yeah yeah before Diwali right.,"Yeah, it is before Diwali, isn't it?",,,0.95483756,5,7,573,513
There are nice Ganpatis no.,"They are some nice Ganpatis, aren't they?",,,0.95278805,5,7,573,513
Different dish antenna yours Pranam.,"Pranam, you have a different dish antenna.",,,0.95135003,5,7,573,513
I know studies are there.,I know that education is a priority.,,,0.9507013,5,7,573,513
Hero means my favourite.,"By hero, I mean my favourite actor.",,,0.94759643,4,7,573,513
Other wise we have to.,We will have to do it otherwise.,,,0.94708925,5,7,573,513
However we try good shot.,We will give our best shot regardless.,,,0.9464168,5,7,573,513
There we have many activities.,We have many activities to do there.,,,0.9440677,5,7,573,513
What's the main cultivation there?,What is the main crop grown there?,,,0.9408086,5,7,573,513
But what you like eating?,But what do you like to eat?,,,0.9407994,5,7,573,513
But you claim as mother.,But you claim to be a mother.,,,0.93473876,5,7,573,513
Okay what's your programme today?,"Okay, what is your plan for today?",,,0.91722524,5,7,573,513
Yeah I think rain dance.,"Yeah, I think it is rain dance.",,,0.9152467,5,7,573,513
It All India Linguistics Conference.,It is the All India Linguistics Conference.,,,0.90707505,5,7,573,513
Here also go to library.,Go to library here as well.,,,0.95458245,5,6,573,513
There is some for having.,There is some food to eat.,,,0.9515065,5,6,573,513
Because it is major accident.,Because it is a major accident.,,,0.95024174,5,6,573,513
I have done my Arts.,I finished my degree in Arts.,,,0.9499019,5,6,573,513
Why there should be increase?,Why should there be an increase?,,,0.9490021,5,6,573,513
You think Padma won't love.,Do you think Padma won't love?,,,0.9489072,5,6,573,513
Even we have in Goa.,We have it in Goa too.,,,0.94789046,5,6,573,513
So one he has mentioned.,So he mentioned one of them.,,,0.9465421,5,6,573,513
No I have not seen.,"No, I have not seen it.",,,0.94526196,5,6,573,513
You have started working on.,Did you start working on it?,,,0.9449241,5,6,573,513
So this is philosophical touch.,So this is a philosophical touch.,,,0.9443336,5,6,573,513
And they are belonging to?,And who do they belong to?,,,0.94422084,5,6,573,513
Taught in some school right.,Did they teach at a school?,,,0.9427172,5,6,573,513
 he's doing tenth standard.,He is studying in tenth standard.,,,0.9419356,5,6,573,513
People are contesting now elections.,People are contesting in elections now.,,,0.94166255,5,6,573,513
You learnt it Kannada language.,Did you learn the Kannada language?,,,0.94093305,5,6,573,513
m now thirty percent reservation.,The reservation is at thirty percent.,,,0.94068855,5,6,573,513
So how many your studies.,How many subjects are you studying?,,,0.9384143,5,6,573,513
You know any prayer song.,Do you know any prayer song?,,,0.9375574,5,6,573,513
School life I spent there.,I spent my schooling years there.,,,0.9369805,5,6,573,513
but that's compulsory for all?,But is that mandatory for all?,,,0.9369069,5,6,573,513
Ah ha holidays he return.,He will return for his holidays.,,,0.93433267,5,6,573,513
Oh you're also from Kerala.,"Oh, are you also from Kerela?",,,0.9330508,5,6,573,513
Yeah I sleep with grandmother.,Yeah I sleep with my grandmother.,,,0.9284764,5,6,573,513
Craft I don't know much.,I don't know much about craft.,,,0.9255858,5,6,573,513
And how much money cost?,And how much does it cost?,,,0.914611,5,6,573,513
How you find the temple.,How did you find the temple?,,,0.9131563,5,6,573,513
No don't have any children.,"No, I don't have any children.",,,0.9085261,5,6,573,513
But you gossip more or.,But do you gossip a lot?,,,0.9063446,5,6,573,513
And is the tenth. day.,And it is the tenth day.,,,0.9054499,5,6,573,513
You read a paper there?,Do you read this paper there?,,,0.9051544,5,6,573,513
Yeah Holi also we have.,"Yeah, we also have Holi.",,,0.95797294,5,5,573,513
 no Rama Rama doing?,Is Rama still doing it?,,,0.9565723,5,5,573,513
College is m smooth working.,The college is working smoothly.,,,0.95293415,5,5,573,513
What course you are doing.,What course are you doing?,,,0.95258355,5,5,573,513
Is it hilly hilly area?,Is it a hilly area?,,,0.95238394,5,5,573,513
Everyday is relax for us.,Everyday is relaxing for us.,,,0.9519724,5,5,573,513
How you are keeping now?,How are you keeping now?,,,0.95108634,5,5,573,513
This Mamta also didn't come.,Mamta hasn't come as well.,,,0.94875014,5,5,573,513
Conversion it becomes difficult like.,It becomes difficult to convert.,,,0.9480079,5,5,573,513
Which is your native place?,What is your native place?,,,0.94314766,5,5,573,513
Start college twenty sixth.,College starts on twenty sixth.,,,0.9423432,4,5,573,513
Oh mother tongue is Telugu.,My mother tongue is Telugu.,,,0.9418762,5,5,573,513
he called you up ,Did he call you up?,,,0.9406666,5,5,573,513
Which class do you teach?,What class do you teach?,,,0.94025445,5,5,573,513
 we don't have any.,We don't have any left.,,,0.9400383,5,5,573,513
You are going to Madurai?,Are you going to Madurai?,,,0.93996966,5,5,573,513
No your Tamil movies are.,,1,,0.93720824,5,1,573,513
You have heard about it.,Have you heard about it?,,,0.93021965,5,5,573,513
So what you are doing.,So what are you doing?,,,0.92986244,5,5,573,513
. So you like Holi.,"So, do you like Holi?",,,0.9264898,5,5,573,513
Lunch and dinner you take.,You have lunch and dinner.,,,0.92280424,5,5,573,513
It is upto plus two.,It is upto twelfth standard.,,,0.92062116,5,5,573,513
What are the sports there.,What sports are played there?,,,0.9200909,5,5,573,513
Then then what will do.,Then what will you do?,,,0.9159923,5,5,573,513
No safe driving you know.,There is no safe driving.,,,0.9133966,5,5,573,513
Actually I have ordered books.,I have ordered some books.,,,0.90713054,5,5,573,513
The sea fish from Andhra.,The saltwater fish from Andhra.,,,0.90269566,5,5,573,513
Today n he was there.,He was there today.,,,0.95347476,5,4,573,513
No corruption is everywhere.,"No, corruption is prevalent.",,,0.95270354,4,4,573,513
So like for example Diploma.,"For example, a diploma.",,,0.95135283,5,4,573,513
No but you have taught.,"No, you did teach.",,,0.9510589,5,4,573,513
Yeah Shivaji is from Poona?,Is Shivaji from Poona?,,,0.9488705,5,4,573,513
That is very recently that.,That happened very recently.,,,0.9481337,5,4,573,513
Ah where is it Parmar's?,Is it at Parmar's?,,,0.94670635,5,4,573,513
he has gone to Warnanagar.,He went to Warnanagar.,,,0.9438325,5,4,573,513
Ah who it is speaking?,Ah. Who is speaking?,,,0.94289947,5,4,573,513
One criterion he has mentioned.,He mentioned one criterion.,,,0.9422718,5,4,573,513
I have got my reservations.,I have my reservations.,,,0.93974674,5,4,573,513
Do you go accompany him?,Do you accompany him?,,,0.9384692,5,4,573,513
Ah you you are placed.,Where are you placed?,,,0.93787485,5,4,573,513
That's very progressive you know.,That is very progressive.,,,0.934536,5,4,573,513
But it is longer no.,But isn't it longer?,,,0.9342788,5,4,573,513
You had gone to Bangalore.,You went to Bangalore.,,,0.9339715,5,4,573,513
Ah Rajneesh I know him.,"Ah, I know Rajneesh.",,,0.93337685,5,4,573,513
Hyderabadi people are very happy.,Hyderabadis are very happy.,,,0.93300545,5,4,573,513
 how is she now.,How is she now?,,,0.9327896,5,4,573,513
Even now it is raining.,It is still raining.,,,0.9327694,5,4,573,513
There don't have any opportunity.,There are no opportunities.,,,0.93119884,5,4,573,513
My children they are fine.,My children are fine.,,,0.92689025,5,4,573,513
Ambur it is a town.,Ambur is a town.,,,0.9255904,5,4,573,513
About what about the talk?,What about the talk?,,,0.9155114,5,4,573,513
No even on social side.,"No, even socially.",,,0.94931716,5,3,573,513
Yeah state level is higher.,,1,,0.9559001,5,1,573,513
Ah you meet every student.,,1,,0.9552875,5,1,573,513
Why are you guilty Lalita?,,1,,0.9545477,5,1,573,513
No I mean with Lucknow.,,1,,0.95249885,5,1,573,513
Postal course is very good.,,1,,0.9520632,5,1,573,513
 she is at home.,,1,,0.95169854,5,1,573,513
I some Maharaja at present.,,1,,0.9514065,5,1,573,513
Yeah U P S college.,,1,,0.95087427,5,1,573,513
Official circular hasn't come.,,1,,0.95011264,4,1,573,513
Yeah that is also true.,,1,,0.9496155,5,1,573,513
He is okay very fine.,,1,,0.9493467,5,1,573,513
They have to teach in.,,1,,0.94923455,5,1,573,513
Yeah I visited this Palace.,,1,,0.9490676,5,1,573,513
Goa that way we will.,,1,,0.94868946,5,1,573,513
Yes to come from Bagni.,,1,,0.94769716,5,1,573,513
No nobody is interested because.,,1,,0.9475305,5,1,573,513
They conducted because of conducted.,,1,,0.94657123,5,1,573,513
There are people there are.,,1,,0.9462493,5,1,573,513
We must have a.,,1,,0.9456271,4,1,573,513
No he is not here.,,1,,0.9455635,5,1,573,513
Dream is something different than.,,1,,0.94556123,5,1,573,513
Is it professor Vayangankar's house?,,1,,0.9451347,5,1,573,513
This is not fair Sonali.,,1,,0.94511944,5,1,573,513
Yeah Yeah. How was Diwali?,,1,,0.94407654,5,1,573,513
Very memorable very memorable yeah.,,1,,0.94396764,5,1,573,513
Yeah then it becomes very.,,1,,0.9424828,5,1,573,513
Ah that is with you.,,1,,0.9422153,5,1,573,513
Yeah we got our exams.,,1,,0.9415444,5,1,573,513
You know like you first.,,1,,0.9414256,5,1,573,513
 we are killing that.,,1,,0.94129467,5,1,573,513
Now we have to study.,,1,,0.9408793,5,1,573,513
It is waste of time.,,1,,0.94087005,5,1,573,513
She is not very fair.,,1,,0.9404462,5,1,573,513
Yeah M G Road is.,,1,,0.9398156,5,1,573,513
Yeah she leaves she leaves.,,1,,0.9396908,5,1,573,513
No what is the problem.,,1,,0.93910015,5,1,573,513
No one is joining medicine.,,1,,0.938419,5,1,573,513
 you what what your.,,1,,0.9381856,5,1,573,513
Library n not like that.,,1,,0.93762696,5,1,573,513
 beg your pardon.,,1,,0.93742055,4,1,573,513
 to receive Shivaraj Patil.,,1,,0.93741465,5,1,573,513
No her marks will increase.,,1,,0.93651766,5,1,573,513
You have not experienced it.,,1,,0.93636686,5,1,573,513
This time it is. Rayalseema,,1,,0.935678,5,1,573,513
No sir they have given.,,1,,0.9351697,5,1,573,513
No no in Chandramukh's shop.,,1,,0.9347961,5,1,573,513
Ah the people complain that.,,1,,0.9345721,5,1,573,513
Are you taking any medicine?,,1,,0.93456304,5,1,573,513
Are you taking any medicine?,,1,,0.93456304,5,1,573,513
Only because she has criticised.,,1,,0.934518,5,1,573,513
What is his name Annamalik.,,1,,0.93414134,5,1,573,513
When did you start teaching?,,1,,0.9338009,5,1,573,513
Working in Government Higher Secondary.,,1,,0.93351036,5,1,573,513
No they will intimate the.,,1,,0.9330146,5,1,573,513
How do you enjoy it?,,1,,0.93237317,5,1,573,513
Now you have followed it.,,1,,0.9323655,5,1,573,513
Ah you just say beti.,,1,,0.9322814,5,1,573,513
Because this is not proper.,,1,,0.9318267,5,1,573,513
Yeah how to express it.,,1,,0.9313885,5,1,573,513
Without any word without any.,,1,,0.93138725,5,1,573,513
Because this is in September.,,1,,0.9313472,5,1,573,513
Is it a big campus?,,1,,0.9310011,5,1,573,513
I am leaving on eighth.,,1,,0.93092585,5,1,573,513
She she must be fine.,,1,,0.9304108,5,1,573,513
All of them are women.,,1,,0.93025243,5,1,573,513
You want lots of people.,,1,,0.9297904,5,1,573,513
I'm from Madras I'm Asha.,,1,,0.9296683,5,1,573,513
They should have the programme.,,1,,0.9296242,5,1,573,513
How do you like Mysore.,,1,,0.9291741,5,1,573,513
You just came from Belgaum.,,1,,0.929057,5,1,573,513
Hey Arun please sit down.,,1,,0.927543,5,1,573,513
But you must remember is.,,1,,0.9266477,5,1,573,513
The buses will be crowded.,,1,,0.92650974,5,1,573,513
 okay then sometimes.,,1,,0.92641234,4,1,573,513
But you teach the students.,,1,,0.9261811,5,1,573,513
Because that is very less.,,1,,0.92575926,5,1,573,513
Yeah they are called match-makers.,,1,,0.9257253,5,1,573,513
Hot. And what about monsoon.,,1,,0.92556125,5,1,573,513
Now no never never never.,,1,,0.92427784,5,1,573,513
And where is he staying?,,1,,0.92415625,5,1,573,513
Evenings are made for them.,,1,,0.9228618,5,1,573,513
Raja Rao made an experiment.,,1,,0.92280626,5,1,573,513
Because there is sort of.,,1,,0.9225129,5,1,573,513
Okay we will go tomorrow.,,1,,0.9223444,5,1,573,513
Then what is your problem.,,1,,0.92217964,5,1,573,513
You must always have hope.,,1,,0.92136216,5,1,573,513
Yes sir for one day.,,1,,0.92131346,5,1,573,513
And I am Sudeep Minhas.,,1,,0.921154,5,1,573,513
People don't know about homeopathy.,,1,,0.92036945,5,1,573,513
He came to one village.,,1,,0.9203086,5,1,573,513
Yeah what an exam exam.,,1,,0.9201487,5,1,573,513
Telugu is origin and Tamilian.,,1,,0.9192606,5,1,573,513
Yeah so we slowly develop.,,1,,0.9192536,5,1,573,513
I like matured one's but.,,1,,0.9191092,5,1,573,513
m what kind of dance?,,1,,0.9179476,5,1,573,513
First we feel like that.,,1,,0.917845,5,1,573,513
Okay it will be a.,,1,,0.9175803,5,1,573,513
And then we are talkative.,,1,,0.9174688,5,1,573,513
Ah northern part of Kerala.,,1,,0.9167539,5,1,573,513
Then you have something laughter.,,1,,0.9160786,5,1,573,513
So what about ghost ghost.,,1,,0.9157507,5,1,573,513
Then you are drawing rays.,,1,,0.91517025,5,1,573,513
I'm Ayesha Firdaus from Banglore.,,1,,0.91387886,5,1,573,513
 from Miraj to Bangalore.,,1,,0.91345906,5,1,573,513
But one one thing I.,,1,,0.91303086,5,1,573,513
Even Arts and Science colleges.,,1,,0.91232944,5,1,573,513
I think that that why.,,1,,0.9120828,5,1,573,513
we had our meeting there.,,1,,0.91162944,5,1,573,513
I am Mrs Heema Patil.,,1,,0.91154426,5,1,573,513
I love lots of jewellery.,,1,,0.91114813,5,1,573,513
What's he doing in Dharwar.,,1,,0.90874434,5,1,573,513
And due to her wish.,,1,,0.90849304,5,1,573,513
Yeah you must face yeah.,,1,,0.90789753,5,1,573,513
So how many of you.,,1,,0.90616316,5,1,573,513
Yeah I was a participant.,,1,,0.904677,5,1,573,513
Due to the refresher course.,,1,,0.9045556,5,1,573,513
mso no oral.,,1,,0.9040805,3,1,573,513
Soil is not levelled here.,,1,,0.9036449,5,1,573,513
Your home town is Pondicherry.,,1,,0.90324366,5,1,573,513
Yes very good very correct.,,1,,0.90315974,5,1,573,513
Ah ha ha because of.,,1,,0.90291554,5,1,573,513
We are taking severe action.,,1,,0.90286285,5,1,573,513
It's straight from Mysore to.,,1,,0.90277785,5,1,573,513
What about you your parents.,,1,,0.9027072,5,1,573,513
once you have a project.,,1,,0.9024752,5,1,573,513
Patil C V Patil something.,,1,,0.90200573,5,1,573,513
Okay just now he says.,,1,,0.9016734,5,1,573,513
No you haven't seen her.,,1,,0.90086615,5,1,573,513
Yeah yeah it is true.,,1,,0.9002111,5,1,573,513
There are many from west side.,There are quite a lot of people from the west side.,,,0.9284497,6,11,573,513
Ah closing work almost completed no.,"Ah you are closing. The work is almost completed, isn't it?",,,0.90880525,6,11,573,513
But twenty percent problem is there.,But a twenty percent of the problem is still left.,,,0.9517508,6,10,573,513
Same story who is the hero.,"It is the same story, but who is the hero?",,,0.94844925,6,10,573,513
Nothing they divert don't have any.,"Nothing, they divert when they don't have anything left.",,,0.94414145,6,9,573,513
I am Subalakshmi doing PGM here.,"I am Subalakshmi, and I am studying PGM here.",,,0.9386332,6,9,573,513
No previous day we never do.,"No, we never do it on the previous day.",,,0.92920107,6,9,573,513
